RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,30/09/2020
1266,1747,Newton County,County,MS,MS,,28,101,93359
2751,1747,Jefferson County,County,OR,OR,,41,31,230226
2707,1750,Goochland County,County,VA,VA,Richmond,51,75,361755
2390,1751,Leelanau County,County,MI,MI,Traverse City,26,89,339688
3052,1752,Washington County,County,IA,IA,Iowa City,19,183,152994
1278,1753,Ogemaw County,County,MI,MI,,26,129,105327
812,1754,Worth County,County,GA,GA,Albany,13,321,108812
2064,1755,Wabasha County,County,MN,MN,Rochester,27,157,214885
840,1756,Asotin County,County,WA,WA,Lewiston,53,3,229900
1845,1757,Labette County,County,KS,KS,Parsons,20,99,52716
3177,1758,Pottawatomie County,County,KS,KS,Manhattan,20,149,217528
2190,1759,Cherokee County,County,KS,KS,,20,21,69185
264,1760,Owen County,County,IN,IN,Bloomington,18,119,136915
2564,1761,Sullivan County,County,IN,IN,Terre Haute,18,153,92188
618,1762,Macon County,County,AL,AL,,1,87,54977
782,1763,Vilas County,County,WI,WI,,55,125,180439
2121,1764,Anderson County,County,KY,KY,Frankfort,21,5,150922
952,1765,Colusa County,County,CA,CA,,6,11,250023
916,1766,Carbon County,County,UT,UT,Price,49,7,157180
1578,1767,Calhoun County,County,TX,TX,Port Lavaca,48,57,149599
1268,1768,Nobles County,County,MN,MN,Worthington,27,105,133535
878,1769,Blaine County,County,ID,ID,Hailey,16,13,604419
1059,1770,Greene County,County,NC,NC,,37,79,105908
763,1771,Union County,County,GA,GA,,13,291,218383
1198,1772,Mercer County,County,KY,KY,,21,167,135814
745,1773,Teton County,County,WY,WY,Jackson,56,39,743314
875,1774,Bertie County,County,NC,NC,,37,15,74889
954,1775,Conway County,County,AR,AR,,5,29,92576
75,1776,Jay County,County,IN,IN,,18,75,86783
1339,1777,Putnam County,County,GA,GA,,13,237,212137
3051,1778,Washington County,County,GA,GA,,13,303,89321
1458,1779,Vernon County,County,MO,MO,,29,217,108514
760,1780,Uinta County,County,WY,WY,Evanston,56,41,202735
2562,1781,Stutsman County,County,ND,ND,Jamestown,38,93,153101
1747,1782,Hampton County,County,SC,SC,,45,49,73562
3082,1783,Winneshiek County,County,IA,IA,,19,191,183471
1917,1784,Marengo County,County,AL,AL,,1,91,87860
3262,1785,Waynesboro City,County,VA,VA,Staunton-Waynesboro,51,820,174591
972,1785,Dakota County,County,NE,NE,Sioux City,31,43,153402
462,1787,Crook County,County,OR,OR,Prineville,41,13,278151
1477,1788,Warren County,County,NC,NC,,37,185,151871
2153,1789,Buchanan County,County,IA,IA,,19,19,144202
2031,1790,Spencer County,County,IN,IN,,18,147,143235
898,1791,Butler County,County,AL,AL,,1,13,75573
1962,1792,Pacific County,County,WA,WA,,53,49,201399
1698,1793,Fayette County,County,IA,IA,,19,65,100359
364,1794,Adams County,County,WI,WI,,55,1,136166
2209,1795,Colorado County,County,TX,TX,,48,89,155136
2263,1796,Fillmore County,County,MN,MN,Rochester,27,45,183274
1179,1797,Martin County,County,MN,MN,Fairmont,27,91,119395
1022,1798,Fulton County,County,IN,IN,,18,49,113347
2670,1799,Concordia Parish,County,LA,LA,Natchez,22,29,93665
1591,1800,Carroll County,County,IA,IA,Carroll,19,27,139753
790,1801,Wayne County,County,KY,KY,,21,231,82050
1377,1802,Sevier County,County,UT,UT,,49,41,207205
2530,1803,Saunders County,County,NE,NE,Omaha-Council Bluffs,31,155,197167
2280,1804,Franklin Parish,County,LA,LA,,22,41,87336
1907,1805,Madison County,County,NC,NC,Asheville,37,115,215024
793,1806,Wayne County,County,MS,MS,,28,153,104985
1629,1807,Clinton County,County,MO,MO,Kansas City,29,49,164137
2503,1808,Richland Parish,County,LA,LA,,22,83,102418
1424,1809,Taylor County,County,WI,WI,,55,119,118693
284,1810,Polk County,County,AR,AR,,5,113,94989
747,1811,Texas County,County,OK,OK,Guymon,40,139,104564
573,1812,Jones County,County,IA,IA,Cedar Rapids,19,105,146747
127,1813,Clay County,County,MS,MS,West Point,28,25,108943
2365,1814,Kewaunee County,County,WI,WI,Green Bay,55,61,159968
290,1816,Polk County,County,NC,NC,,37,149,223371
1877,1817,Lincoln County,County,NM,NM,Ruidoso,35,27,180126
1139,1818,La Paz County,County,AZ,AZ,,4,12,181894
1529,1819,Bandera County,County,TX,TX,San Antonio-New Braunfels,48,19,223898
1813,1820,Jackson County,County,WI,WI,,55,53,139260
1786,1821,Hubbard County,County,MN,MN,,27,57,220288
2765,1822,Klickitat County,County,WA,WA,,53,39,321306
3239,1823,East Feliciana Parish,County,LA,LA,Baton Rouge,22,37,164121
3086,1824,Buena Vista County,County,IA,IA,Storm Lake,19,21,125544
2426,1825,McIntosh County,County,OK,OK,,40,91,75106
3065,1826,Washington County,County,NE,NE,Omaha-Council Bluffs,31,177,221614
577,1827,Jones County,County,TX,TX,Abilene,48,253,111582
200,1828,Kent County,County,MD,MD,,24,29,233621
1002,1829,Elbert County,County,GA,GA,,13,105,88059
1593,1830,Carroll County,County,IN,IN,Lafayette-West Lafayette,18,15,136711
554,1831,Henry County,County,IA,IA,,19,87,123127
1661,1832,De Witt County,County,TX,TX,,48,123,134541
483,1833,Dodge County,County,MN,MN,Rochester,27,39,216151
2605,1834,Woodward County,County,OK,OK,Woodward,40,153,106926
2433,1835,Minidoka County,County,ID,ID,Burley,16,67,181252
3155,1836,Breckinridge County,County,KY,KY,,21,27,103593
1329,1837,Plumas County,County,CA,CA,,6,63,279472
1551,1838,Bourbon County,County,KY,KY,Lexington-Fayette,21,17,143831
1672,1839,Douglas County,County,IL,IL,,17,41,105008
2377,1840,Langlade County,County,WI,WI,,55,67,112666
369,1841,Allen County,County,KY,KY,Bowling Green,21,3,96146
1094,1842,Holmes County,County,FL,FL,,12,59,111336
1367,1843,Saluda County,County,SC,SC,Columbia,45,81,113395
1796,1844,Jackson County,County,IA,IA,,19,97,141600
2837,1845,Roosevelt County,County,NM,NM,Portales,35,41,125993
1288,1846,Orange County,County,IN,IN,,18,117,102061
1167,1847,Marion County,County,KY,KY,,21,155,114316
2229,1848,Crawford County,County,IL,IL,,17,33,78478
2701,1849,Freestone County,County,TX,TX,,48,161,115749
2307,1850,Gonzales County,County,TX,TX,,48,177,149740
2682,1851,Dickinson County,County,KS,KS,,20,41,114783
